PID	Coverage
ko00564	0.37037
ko00680	0.284946
ko00562	0.266667
ko00563	0.0769231
ko05100	0.0461538
ko00440	0.148148
ko00250	0.685185
ko00072	0.875
ko04380	0.0106383
ko04650	0.025641
ko03450	0.0526316
ko00760	0.571429
ko00920	0.5
ko04144	0.057971
ko00310	0.333333
ko04146	0.0571429
ko00600	0.2
ko04140	0.047619
ko04141	0.0510949
ko04142	0.040404
ko03040	0.208333
ko02060	0.84
ko04712	0.0833333
ko00511	0.625
ko00510	0.0681818
ko05110	0.0425532
ko04974	0.0816327
ko00860	0.553398
ko00450	0.607143
ko00565	0.0625
ko00300	0.55
ko00195	0.047619
ko00260	0.656716
ko00190	0.354369
ko03440	0.508475
ko00750	0.666667
ko04626	0.0142857
ko00311	0.214286
ko00061	0.615385
ko03070	0.608108
ko02040	0.536585
ko00380	0.209677
ko00500	0.64557
ko05120	0.0363636
ko00590	0.0714286
ko05322	0.0434783
ko04962	0.0606061
ko00625	0.461538
ko00624	0.176471
ko00627	0.305085
ko00626	0.464286
ko00621	0.384615
ko00620	0.767123
ko00623	0.0357143
ko00270	0.636364
ko00010	0.625
ko05111	0.119048
ko00941	0.05
ko01053	0.375
ko00100	0.0322581
ko00071	0.361702
ko00740	0.419355
ko05216	0.0357143
ko03060	0.487179
ko00561	0.444444
ko04910	0.012987
ko00531	0.285714
ko05130	0.0263158
ko04914	0.0169492
ko00360	0.352941
ko00362	0.24
ko04110	0.0194175
ko00430	0.4375
ko02010	0.643077
ko00130	0.564103
ko04330	0.0357143
ko00633	0.363636
ko00040	0.588235
ko00730	0.772727
ko01040	0.206897
ko03018	0.333333
ko04270	0.0121951
ko04145	0.0322581
ko03013	0.0984848
ko03010	0.430556
ko05200	0.0083682
ko03015	0.0754717
ko05142	0.0243902
ko00520	0.635514
ko00521	0.529412
ko00052	0.561404
ko00053	0.285714
ko00051	0.716418
ko00400	0.612903
ko00350	0.409836
ko00480	0.526316
ko00640	0.606061
ko00720	0.656716
ko02020	0.624224
ko03008	0.0853659
ko00290	1
ko04614	0.117647
ko04610	0.0289855
ko03410	0.414634
ko04976	0.0172414
ko05010	0.00714286
ko00630	0.606061
ko00410	0.516129
ko00983	0.0454545
ko05150	0.0923077
ko00791	0.214286
ko00790	0.666667
ko00020	0.811321
ko00710	0.0555556
ko04710	0.0555556
ko00340	0.631579
ko00785	1
ko04130	0.0588235
ko00550	0.864865
ko00650	0.695652
ko03030	0.372549
ko02030	0.692308
ko04530	0.0144928
ko04621	0.0588235
ko04620	0.0135135
ko04623	0.0227273
ko04622	0.0377358
ko00910	0.616162
ko00460	0.321429
ko00830	0.0285714
ko00780	0.7
ko00970	0.5
ko00030	0.636364
ko00670	0.777778
ko00230	0.425
ko04122	0.857143
ko04120	0.0504202
ko00540	0.733333
ko03022	0.0857143
ko00660	0.916667
ko03020	0.254237
ko04512	0.0714286
ko04630	0.00847458
ko00330	0.6
ko04080	0.0100334
ko04514	0.011236
ko00908	0.125
ko04930	0.0322581
ko04320	0.125
ko03430	0.533333
ko00906	0.0857143
ko00900	0.714286
ko04520	0.0338983
ko00903	0.47619
ko00471	1
ko00473	1
ko05014	0.0465116
ko04510	0.0075188
ko04810	0.0138889
ko04210	0.0322581
ko00240	0.434211
ko04010	0.00543478
ko04011	0.0769231
ko01055	1
ko04113	0.010101
ko04310	0.0309278
ko03420	0.270833
ko00770	0.793103
ko00280	0.508772
ko04920	0.0222222
ko03050	0.0833333
ko00930	0.0714286
ko04112	0.387097
